"subject","condition","replication","leg","joint","time","angle"
1,1,1,1,1,58,12.0757824975772
1,1,1,1,1,59,11.551542315642
1,1,1,1,1,60,10.9360066503063
1,1,1,1,1,61,10.2162240698478
1,1,1,1,1,62,9.36586691725564
1,1,1,1,1,63,8.34120420745383
1,1,1,1,1,64,7.08232879174078
1,1,1,1,1,65,5.52485439010251
1,1,1,1,1,66,3.62528801402806
1,1,1,1,1,67,1.39909880804912
1,1,1,1,1,68,-1.03917852831274
1,1,1,1,1,69,-3.45587247698979
1,1,1,1,1,70,-5.52488710374946
1,1,1,1,1,71,-6.9071079255906
1,1,1,1,1,72,-7.35281653461582
1,1,1,1,1,73,-6.77931628786848
1,1,1,1,1,74,-5.28997102216459
1,1,1,1,1,75,-3.13831833328374
1,1,1,1,1,76,-0.653531168587316
1,1,1,1,1,77,1.84531892009977
1,1,1,1,1,78,4.11955760201913
1,1,1,1,1,79,6.04229895148351
1,1,1,1,1,80,7.59080545263784
1,1,1,1,1,81,8.81227376277989
1,1,1,1,1,82,9.78420867721314
1,1,1,1,1,83,10.5801240791827
1,1,1,1,1,84,11.2459525734463
1,1,1,1,1,85,11.7872018493734
1,1,1,1,1,86,12.168229213797
1,1,1,1,1,87,12.3244732949431
1,1,1,1,1,88,12.1872761191101
1,1,1,1,1,89,11.7146931060395
1,1,1,1,1,90,10.9184406305504
1,1,1,1,1,91,9.87678184444612
1,1,1,1,1,92,8.72566748427558
1,1,1,1,1,93,7.62873227169763
1,1,1,1,1,94,6.73681116787959
1,1,1,1,1,95,6.1529760498324
1,1,1,1,1,96,5.91305178791177
1,1,1,1,1,97,5.98441922122409
1,1,1,1,1,98,6.27631083137266
1,1,1,1,1,99,6.65686294616893
1,1,1,1,1,100,6.97493437638333
1,1,1,1,2,0,3.69368329314584
1,1,1,1,2,1,4.25887559428585
1,1,1,1,2,2,5.34694467609688
1,1,1,1,2,3,6.76983140130125
1,1,1,1,2,4,8.35171616953212
1,1,1,1,2,5,9.95699462043494
1,1,1,1,2,6,11.5011208933461
1,1,1,1,2,7,12.9446332593599
1,1,1,1,2,8,14.2760633886819
1,1,1,1,2,9,15.4917084390771
1,1,1,1,2,10,16.5798337448732
1,1,1,1,2,11,17.514805515466
1,1,1,1,2,12,18.2622117159221
1,1,1,1,2,13,18.7906275300728
1,1,1,1,2,14,19.0837030541392
1,1,1,1,2,15,19.1468150100448
1,1,1,1,2,16,19.0068553808846
1,1,1,1,2,17,18.7065109299844
1,1,1,1,2,18,18.2962961912632
1,1,1,1,2,19,17.8263845347815
1,1,1,1,2,20,17.339264142765
1,1,1,1,2,21,16.8632359624209
1,1,1,1,2,22,16.4078536423167
1,1,1,1,2,23,15.9638281049061
1,1,1,1,2,24,15.5095050785406
1,1,1,1,2,25,15.0221111187268
1,1,1,1,2,26,14.4888992931097
1,1,1,1,2,27,13.913364693621
1,1,1,1,2,28,13.3145927902741
1,1,1,1,2,29,12.7218410807098
1,1,1,1,2,30,12.1672742340122
1,1,1,1,2,31,11.6788660694269
1,1,1,1,2,32,11.273941101067
1,1,1,1,2,33,10.9544855768689
1,1,1,1,2,34,10.7055369916026
1,1,1,1,2,35,10.4986056630373
1,1,1,1,2,36,10.2995313097836
1,1,1,1,2,37,10.0778926270464
1,1,1,1,2,38,9.81339978633737
1,1,1,1,2,39,9.49690952034824
1,1,1,1,2,40,9.12684969921634
1,1,1,1,2,41,8.70483785102328
1,1,1,1,2,42,8.23404733126529
1,1,1,1,2,43,7.72172448417734
1,1,1,1,2,44,7.18412366752973
1,1,1,1,2,45,6.65003896719671
1,1,1,1,2,46,6.15940793396351
1,1,1,1,2,47,5.75638575055429
1,1,1,1,2,48,5.47976542993194
1,1,1,1,2,49,5.35479975674023
1,1,1,1,2,50,5.389025118067
1,1,1,1,2,51,5.5739571552248
1,1,1,1,2,52,5.89264513865258
1,1,1,1,2,53,6.3310765559041
1,1,1,1,2,54,6.88818355536565
1,1,1,1,2,55,7.58002589478098
1,1,1,1,2,56,8.43679373783357
1,1,1,1,2,57,9.49610722172396
1,1,1,1,2,58,10.7967452678973
1,1,1,1,2,59,12.3750772821921
1,1,1,1,2,60,14.2631328263804
1,1,1,1,2,61,16.4860803587352
1,1,1,1,2,62,19.0577507465197
1,1,1,1,2,63,21.9744939396765
1,1,1,1,2,64,25.2077784956479
1,1,1,1,2,65,28.6990438595619
1,1,1,1,2,66,32.3622770208811
1,1,1,1,2,67,36.0988263148276
1,1,1,1,2,68,39.8179235805784
1,1,1,1,2,69,43.4496536304604
1,1,1,1,2,70,46.9412777620136
1,1,1,1,2,71,50.2415786395572
1,1,1,1,2,72,53.2864757975931
1,1,1,1,2,73,55.996580416613
1,1,1,1,2,74,58.2879054710805
1,1,1,1,2,75,60.0882937809973
1,1,1,1,2,76,61.3515242742186
1,1,1,1,2,77,62.0634848562591
1,1,1,1,2,78,62.2392506381526
1,1,1,1,2,79,61.9130836600482
1,1,1,1,2,80,61.1267847900531
1,1,1,1,2,81,59.9207551104612
1,1,1,1,2,82,58.329795196781
1,1,1,1,2,83,56.3827045446891
1,1,1,1,2,84,54.1034877698194
1,1,1,1,2,85,51.5121766601781
1,1,1,1,2,86,48.6241344264746
1,1,1,1,2,87,45.448011830759
1,1,1,1,2,88,41.9844246879699
1,1,1,1,2,89,38.2277070571179
1,1,1,1,2,90,34.1730798795122
1,1,1,1,2,91,29.8313882161959
1,1,1,1,2,92,25.2536822800298
1,1,1,1,2,93,20.5608891043989
1,1,1,1,2,94,15.9606891215817
1,1,1,1,2,95,11.7221954739217
1,1,1,1,2,96,8.10860455728021
1,1,1,1,2,97,5.30968484170887
1,1,1,1,2,98,3.41263602912583
1,1,1,1,2,99,2.40681345919481
1,1,1,1,2,100,2.20045193455249
1,1,1,1,3,0,16.6078682743045
1,1,1,1,3,1,16.8510290622602
1,1,1,1,3,2,17.1700976735105
1,1,1,1,3,3,17.5046929359098
1,1,1,1,3,4,17.8066015793224
1,1,1,1,3,5,18.0462954630206
1,1,1,1,3,6,18.2098713119574
1,1,1,1,3,7,18.2903342295494
1,1,1,1,3,8,18.279389915662
1,1,1,1,3,9,18.1632411807455
1,1,1,1,3,10,17.9229925378662
1,1,1,1,3,11,17.5387834798048
1,1,1,1,3,12,16.9966895034241
1,1,1,1,3,13,16.2962340704616
1,1,1,1,3,14,15.4550840225519
1,1,1,1,3,15,14.5079395534527
1,1,1,1,3,16,13.4998641997549
1,1,1,1,3,17,12.4767737582054
1,1,1,1,3,18,11.4765765498965
1,1,1,1,3,19,10.5237090301134
1,1,1,1,3,20,9.62767845010512
1,1,1,1,3,21,8.7848075452632
1,1,1,1,3,22,7.9816162360083
1,1,1,1,3,23,7.19913769926409
1,1,1,1,3,24,6.41771628526746
1,1,1,1,3,25,5.62164782006434
1,1,1,1,3,26,4.80252188933723
1,1,1,1,3,27,3.9602619848314
1,1,1,1,3,28,3.10148691484104
1,1,1,1,3,29,2.23668676902787
1,1,1,1,3,30,1.37803466201564
1,1,1,1,3,31,0.538376336013018
1,1,1,1,3,32,-0.269562436448029
1,1,1,1,3,33,-1.03431320397919
1,1,1,1,3,34,-1.74681330195689
1,1,1,1,3,35,-2.40118547667258
1,1,1,1,3,36,-2.99548993750321
1,1,1,1,3,37,-3.53311638347058
1,1,1,1,3,38,-4.02503374864055
1,1,1,1,3,39,-4.49189317899861
1,1,1,1,3,40,-4.96342437336748
1,1,1,1,3,41,-5.47331765747676
1,1,1,1,3,42,-6.05033101353685
1,1,1,1,3,43,-6.70940542487749
1,1,1,1,3,44,-7.44685015508802
1,1,1,1,3,45,-8.24153731177337
1,1,1,1,3,46,-9.06159730046958
1,1,1,1,3,47,-9.87379358349743
1,1,1,1,3,48,-10.6520905273595
1,1,1,1,3,49,-11.3827374116337
1,1,1,1,3,50,-12.0651752994118
1,1,1,1,3,51,-12.7083985230759
1,1,1,1,3,52,-13.3236540332684
1,1,1,1,3,53,-13.9158107099446
1,1,1,1,3,54,-14.4776918375922
1,1,1,1,3,55,-14.9897565014564
1,1,1,1,3,56,-15.4242818676795
1,1,1,1,3,57,-15.7506474213371
1,1,1,1,3,58,-15.9395019153634
1,1,1,1,3,59,-15.9650315726821
1,1,1,1,3,60,-15.8053530638015
1,1,1,1,3,61,-15.4416760937995
1,1,1,1,3,62,-14.8575222527137
1,1,1,1,3,63,-14.0394249935613
1,1,1,1,3,64,-12.9803473009284
1,1,1,1,3,65,-11.6855273848389
1,1,1,1,3,66,-10.1783545045567
1,1,1,1,3,67,-8.50181250331654
1,1,1,1,3,68,-6.71291321414669
1,1,1,1,3,69,-4.87107584261202
1,1,1,1,3,70,-3.02548085311582
1,1,1,1,3,71,-1.20645344924632
1,1,1,1,3,72,0.575798818342987
1,1,1,1,3,73,2.32589912854503
1,1,1,1,3,74,4.05397469451553
1,1,1,1,3,75,5.76674682356608
1,1,1,1,3,76,7.46214106292964
1,1,1,1,3,77,9.12830050425049
1,1,1,1,3,78,10.7454767376461
1,1,1,1,3,79,12.2893117521932
1,1,1,1,3,80,13.7352143647091
1,1,1,1,3,81,15.0640213355277
1,1,1,1,3,82,16.267122041955
1,1,1,1,3,83,17.3475442332818
1,1,1,1,3,84,18.3152697625637
1,1,1,1,3,85,19.1784562862435
1,1,1,1,3,86,19.9348820223816
1,1,1,1,3,87,20.567416460326
1,1,1,1,3,88,21.0459592992966
1,1,1,1,3,89,21.3346154459346
1,1,1,1,3,90,21.4014240254298
1,1,1,1,3,91,21.2283372525001
1,1,1,1,3,92,20.8210523060675
1,1,1,1,3,93,20.2167911113387
1,1,1,1,3,94,19.485746243109
1,1,1,1,3,95,18.7207815588408
1,1,1,1,3,96,18.0174364897789
1,1,1,1,3,97,17.4525876741255
1,1,1,1,3,98,17.0700419490993
1,1,1,1,3,99,16.8752781904049
1,1,1,1,3,100,16.8380397843481
1,1,1,2,1,0,5.01582899391822
1,1,1,2,1,1,5.29120063765579
1,1,1,2,1,2,5.41052831001155
1,1,1,2,1,3,5.27062821792932
1,1,1,2,1,4,4.81414266222979
1,1,1,2,1,5,4.06044325688196
1,1,1,2,1,6,3.1148267404397
1,1,1,2,1,7,2.14509345592341
1,1,1,2,1,8,1.33267809658098
1,1,1,2,1,9,0.819096115327821
1,1,1,2,1,10,0.67200110887333
1,1,1,2,1,11,0.879722932815039
1,1,1,2,1,12,1.37085974704152
1,1,1,2,1,13,2.04511095452974
1,1,1,2,1,14,2.80418329403927
1,1,1,2,1,15,3.57378585657398
1,1,1,2,1,16,4.31241924059068
1,1,1,2,1,17,5.00747576968203
1,1,1,2,1,18,5.66238847428488
1,1,1,2,1,19,6.28243791924054
1,1,1,2,1,20,6.86551629734274
1,1,1,2,1,21,7.40038409586028
1,1,1,2,1,22,7.87031282350754
1,1,1,2,1,23,8.25919030975103
1,1,1,2,1,24,8.55831948892779
1,1,1,2,1,25,8.77234758712057
1,1,1,2,1,26,8.92208004725081
1,1,1,2,1,27,9.04088853204175
1,1,1,2,1,28,9.16455197264845
1,1,1,2,1,29,9.31822332183889
1,1,1,2,1,30,9.50726288873674
1,1,1,2,1,31,9.7162776081954
1,1,1,2,1,32,9.91606992444548
1,1,1,2,1,33,10.0752629877935
1,1,1,2,1,34,10.1736810062759
1,1,1,2,1,35,10.2147129330108
1,1,1,2,1,36,10.2306897704947
1,1,1,2,1,37,10.2758943009856
1,1,1,2,1,38,10.4062424486011
1,1,1,2,1,39,10.6551713358989
1,1,1,2,1,40,11.0186351716551
1,1,1,2,1,41,11.456386809842
1,1,1,2,1,42,11.9076052925569
1,1,1,2,1,43,12.3126191630814
1,1,1,2,1,44,12.632193118842
1,1,1,2,1,45,12.8572817688687
1,1,1,2,1,46,13.0070727448716
1,1,1,2,1,47,13.1165206164418
1,1,1,2,1,48,13.2193702439353
1,1,1,2,1,49,13.333066043136
1,1,1,2,1,50,13.4512926165184
1,1,1,2,1,51,13.5472482865266
1,1,1,2,1,52,13.5848618620305
1,1,1,2,1,53,13.5313137541662
1,1,1,2,1,54,13.3644140806137
1,1,1,2,1,55,13.073426714353
1,1,1,2,1,56,12.6550755128261
1,1,1,2,1,57,12.1076823682969
1,1,1,2,1,58,11.4260394189493
1,1,1,2,1,59,10.5989665029481
1,1,1,2,1,60,9.61034130177201
1,1,1,2,1,61,8.44321827177677
1,1,1,2,1,62,7.08712371003211
1,1,1,2,1,63,5.54925487780681
1,1,1,2,1,64,3.86990904963316
1,1,1,2,1,65,2.13716226398816
1,1,1,2,1,66,0.489412109052944
1,1,1,2,1,67,-0.905967497606183
1,1,1,2,1,68,-1.89390265202351
1,1,1,2,1,69,-2.37306492698187
1,1,1,2,1,70,-2.32003780325855
1,1,1,2,1,71,-1.78840189654835
1,1,1,2,1,72,-0.887987264657892
1,1,1,2,1,73,0.248542456961958
1,1,1,2,1,74,1.49879012988496
1,1,1,2,1,75,2.77353649370972
1,1,1,2,1,76,4.02370831337154
1,1,1,2,1,77,5.23255386724149
1,1,1,2,1,78,6.39823161044489
1,1,1,2,1,79,7.51453695430125
1,1,1,2,1,80,8.55681029538237
1,1,1,2,1,81,9.47713152008876
1,1,1,2,1,82,10.2102620022775
1,1,1,2,1,83,10.687205447342
1,1,1,2,1,84,10.852664120474
1,1,1,2,1,85,10.6823341523439
1,1,1,2,1,86,10.1957055534731
1,1,1,2,1,87,9.45843054375266
1,1,1,2,1,88,8.56983741548936
1,1,1,2,1,89,7.63858686296595
1,1,1,2,1,90,6.75793504414874
1,1,1,2,1,91,5.99133791148207
1,1,1,2,1,92,5.36936556387228
1,1,1,2,1,93,4.89538975893028
1,1,1,2,1,94,4.55667925702583
1,1,1,2,1,95,4.33878526594545
1,1,1,2,1,96,4.23774207844186
1,1,1,2,1,97,4.26413671860614
1,1,1,2,1,98,4.43500571256506
1,1,1,2,1,99,4.75437312887512
1,1,1,2,1,100,5.190550106662
1,1,1,2,2,0,2.24442503800445
1,1,1,2,2,1,3.38167823667373
1,1,1,2,2,2,4.92556568798504
1,1,1,2,2,3,6.62397798874061
1,1,1,2,2,4,8.26860167106419
1,1,1,2,2,5,9.73405785664809
1,1,1,2,2,6,10.988666745161
1,1,1,2,2,7,12.0733683122008
1,1,1,2,2,8,13.0603288240797
1,1,1,2,2,9,14.0094088588317
1,1,1,2,2,10,14.9407135671483
1,1,1,2,2,11,15.8301243598305
1,1,1,2,2,12,16.6250917933876
1,1,1,2,2,13,17.2691570039338
1,1,1,2,2,14,17.7236290825779
1,1,1,2,2,15,17.9787742233942
1,1,1,2,2,16,18.051968082577
1,1,1,2,2,17,17.9765212772684
1,1,1,2,2,18,17.787763952754
1,1,1,2,2,19,17.5138402754445
1,1,1,2,2,20,17.1738211956527
1,1,1,2,2,21,16.7808240647267
1,1,1,2,2,22,16.3453217902965
1,1,1,2,2,23,15.875774733996
1,1,1,2,2,24,15.3774560115135
1,1,1,2,2,25,14.8521902520854
1,1,1,2,2,26,14.2999745696545
1,1,1,2,2,27,13.7214235048653
1,1,1,2,2,28,13.1195050405629
1,1,1,2,2,29,12.4998821201325
1,1,1,2,2,30,11.8699023972651
1,1,1,2,2,31,11.236850195785
1,1,1,2,2,32,10.6065478233964
1,1,1,2,2,33,9.98333121599536
1,1,1,2,2,34,9.37217526592569
1,1,1,2,2,35,8.78243232424012
1,1,1,2,2,36,8.23027997737679
1,1,1,2,2,37,7.73676586449352
1,1,1,2,2,38,7.32103495537964
1,1,1,2,2,39,6.99254815820073
1,1,1,2,2,40,6.74742940232696
1,1,1,2,2,41,6.57160899435642
1,1,1,2,2,42,6.44896887139178
1,1,1,2,2,43,6.36928796761605
1,1,1,2,2,44,6.33221803789163
1,1,1,2,2,45,6.34652323867223
1,1,1,2,2,46,6.42621753576331
1,1,1,2,2,47,6.58525115993888
1,1,1,2,2,48,6.83251618158635
1,1,1,2,2,49,7.16950564902787
1,1,1,2,2,50,7.59318493436589
1,1,1,2,2,51,8.10433094042472
1,1,1,2,2,52,8.71605069977958
1,1,1,2,2,53,9.45564864875526
1,1,1,2,2,54,10.3581330222099
1,1,1,2,2,55,11.4559620401862
1,1,1,2,2,56,12.7713654285267
1,1,1,2,2,57,14.3148460059962
1,1,1,2,2,58,16.0901835969371
1,1,1,2,2,59,18.1020527273004
1,1,1,2,2,60,20.3604434268419
1,1,1,2,2,61,22.8774904073443
1,1,1,2,2,62,25.6576676559158
1,1,1,2,2,63,28.6881244342332
1,1,1,2,2,64,31.9357549258764
1,1,1,2,2,65,35.3508906252054
1,1,1,2,2,66,38.8714236386367
1,1,1,2,2,67,42.4235359303525
1,1,1,2,2,68,45.9212971588975
1,1,1,2,2,69,49.2698415393766
1,1,1,2,2,70,52.3731271689795
1,1,1,2,2,71,55.1443494095649
1,1,1,2,2,72,57.5155669431069
1,1,1,2,2,73,59.4425498596149
1,1,1,2,2,74,60.9029886686419
1,1,1,2,2,75,61.8895700956074
1,1,1,2,2,76,62.4025574805312
1,1,1,2,2,77,62.4452949723391
1,1,1,2,2,78,62.0235546245993
1,1,1,2,2,79,61.1478840814984
1,1,1,2,2,80,59.8368088133806
1,1,1,2,2,81,58.1184027982331
1,1,1,2,2,82,56.0283628050208
1,1,1,2,2,83,53.6056197209817
1,1,1,2,2,84,50.8880861875198
1,1,1,2,2,85,47.9110792174827
1,1,1,2,2,86,44.708612263373
1,1,1,2,2,87,41.3151686949094
1,1,1,2,2,88,37.7646530091182
1,1,1,2,2,89,34.0859462143506
1,1,1,2,2,90,30.2988295023718
1,1,1,2,2,91,26.4158064845798
1,1,1,2,2,92,22.4535071264826
1,1,1,2,2,93,18.4545042059867
1,1,1,2,2,94,14.5134443826514
1,1,1,2,2,95,10.7903979481749
1,1,1,2,2,96,7.49609665507421
1,1,1,2,2,97,4.84890592113395
1,1,1,2,2,98,3.02356703577903
1,1,1,2,2,99,2.10996833854387
1,1,1,2,2,100,2.09105355927314
1,1,1,2,3,0,18.9482904660435
1,1,1,2,3,1,19.2652995524256
1,1,1,2,3,2,19.6004690933081
1,1,1,2,3,3,19.8717548143261
1,1,1,2,3,4,20.0165638013327
1,1,1,2,3,5,20.0046669005771
1,1,1,2,3,6,19.8412144616448
1,1,1,2,3,7,19.5577291253585
1,1,1,2,3,8,19.1945372386535
1,1,1,2,3,9,18.7817049312676
1,1,1,2,3,10,18.3271577933119
1,1,1,2,3,11,17.816368030894
1,1,1,2,3,12,17.2229971061479
1,1,1,2,3,13,16.5242662559612
1,1,1,2,3,14,15.7133854304694
1,1,1,2,3,15,14.8038008031857
1,1,1,2,3,16,13.8239731398339
1,1,1,2,3,17,12.8066331771029
1,1,1,2,3,18,11.7783368425305
1,1,1,2,3,19,10.7546594851165
1,1,1,2,3,20,9.74195412162073
1,1,1,2,3,21,8.74244639819051
1,1,1,2,3,22,7.75793057840165
1,1,1,2,3,23,6.78962750446774
1,1,1,2,3,24,5.83579255705346
1,1,1,2,3,25,4.89073645047976
1,1,1,2,3,26,3.94709619524257
1,1,1,2,3,27,3.00017779926162
1,1,1,2,3,28,2.05146982154934
1,1,1,2,3,29,1.1090843320225
1,1,1,2,3,30,0.184792007531932
1,1,1,2,3,31,-0.710932009745469
1,1,1,2,3,32,-1.57304453886924
1,1,1,2,3,33,-2.40271497998672
1,1,1,2,3,34,-3.2037866484444
1,1,1,2,3,35,-3.97703453861066
1,1,1,2,3,36,-4.7164298847409
1,1,1,2,3,37,-5.41048702350271
1,1,1,2,3,38,-6.0485165660258
1,1,1,2,3,39,-6.62813367204914
1,1,1,2,3,40,-7.15955578238575
1,1,1,2,3,41,-7.66395928605308
1,1,1,2,3,42,-8.16637041278831
1,1,1,2,3,43,-8.68654367936129
1,1,1,2,3,44,-9.23156491413887
1,1,1,2,3,45,-9.79341367927604
1,1,1,2,3,46,-10.3523895659945
1,1,1,2,3,47,-10.8853249597731
1,1,1,2,3,48,-11.3747189220335
1,1,1,2,3,49,-11.8143464688226
1,1,1,2,3,50,-12.2085842132178
1,1,1,2,3,51,-12.5656490486694
1,1,1,2,3,52,-12.8886442782771
1,1,1,2,3,53,-13.1693071582207
1,1,1,2,3,54,-13.3879329746322
1,1,1,2,3,55,-13.5190308046027
1,1,1,2,3,56,-13.5388891273977
1,1,1,2,3,57,-13.430278827958
1,1,1,2,3,58,-13.1819077150453
1,1,1,2,3,59,-12.7847711711422
1,1,1,2,3,60,-12.2295722284565
1,1,1,2,3,61,-11.5078996643001
1,1,1,2,3,62,-10.6160751466046
1,1,1,2,3,63,-9.55820622657802
1,1,1,2,3,64,-8.34549871292095
1,1,1,2,3,65,-6.99193006550603
1,1,1,2,3,66,-5.5100837026606
1,1,1,2,3,67,-3.91184811715943
1,1,1,2,3,68,-2.21415806340616
1,1,1,2,3,69,-0.444169527265306
1,1,1,2,3,70,1.36144954977605
1,1,1,2,3,71,3.16353088912697
1,1,1,2,3,72,4.92925585682155
1,1,1,2,3,73,6.63821297415023
1,1,1,2,3,74,8.28333898691184
1,1,1,2,3,75,9.86694393194152
1,1,1,2,3,76,11.3938341819559
1,1,1,2,3,77,12.8639167483428
1,1,1,2,3,78,14.2671986641039
1,1,1,2,3,79,15.5833595293287
1,1,1,2,3,80,16.7864883619519
1,1,1,2,3,81,17.8525123520741
1,1,1,2,3,82,18.7661896745556
1,1,1,2,3,83,19.5259306921094
1,1,1,2,3,84,20.1454120696467
1,1,1,2,3,85,20.6509495231155
1,1,1,2,3,86,21.0733492718741
1,1,1,2,3,87,21.4357791866892
1,1,1,2,3,88,21.7419516349255
1,1,1,2,3,89,21.9709392809187
1,1,1,2,3,90,22.0825529178335
1,1,1,2,3,91,22.0333259057308
1,1,1,2,3,92,21.7971197795458
1,1,1,2,3,93,21.3814831199953
1,1,1,2,3,94,20.833443814926
1,1,1,2,3,95,20.2317513681936
1,1,1,2,3,96,19.6694256547295
1,1,1,2,3,97,19.2325933747418
1,1,1,2,3,98,18.9821656181224
1,1,1,2,3,99,18.9411959698065
1,1,1,2,3,100,19.0899714212741
1,1,2,1,1,0,7.04576685043939
1,1,2,1,1,1,7.05738202695889
1,1,2,1,1,2,6.74580415914592
1,1,2,1,1,3,6.12237264343092
1,1,2,1,1,4,5.28724439172562
1,1,2,1,1,5,4.40049399178791
1,1,2,1,1,6,3.63364939443703
1,1,2,1,1,7,3.12173350755839
1,1,2,1,1,8,2.9350875538977
1,1,2,1,1,9,3.07448209079399
1,1,2,1,1,10,3.48569673702757
1,1,2,1,1,11,4.08360447573204
1,1,2,1,1,12,4.77799050479865
1,1,2,1,1,13,5.49255589947628
1,1,2,1,1,14,6.17392638614917
1,1,2,1,1,15,6.79183457321367
1,1,2,1,1,16,7.33489203509432
1,1,2,1,1,17,7.80461166516002
1,1,2,1,1,18,8.21001706068465
1,1,2,1,1,19,8.5638391377706
1,1,2,1,1,20,8.88017746216765
1,1,2,1,1,21,9.17152123491236
1,1,2,1,1,22,9.4442362661167
1,1,2,1,1,23,9.69521042775234
1,1,2,1,1,24,9.91330480412504
1,1,2,1,1,25,10.0852241077442
1,1,2,1,1,26,10.2030331730608
1,1,2,1,1,27,10.2701352563892
1,1,2,1,1,28,10.3035680691658
1,1,2,1,1,29,10.3311847852915
1,1,2,1,1,30,10.3848077196354
1,1,2,1,1,31,10.4917738916707
1,1,2,1,1,32,10.6678895213057
1,1,2,1,1,33,10.9137898320778
1,1,2,1,1,34,11.2158058541142
1,1,2,1,1,35,11.5504587857617
1,1,2,1,1,36,11.8907615411164
1,1,2,1,1,37,12.2121919467633
1,1,2,1,1,38,12.4967936557755
1,1,2,1,1,39,12.7343262628853
1,1,2,1,1,40,12.9209345266727
1,1,2,1,1,41,13.0572895738417
1,1,2,1,1,42,13.1476074175589
1,1,2,1,1,43,13.1990659179362
1,1,2,1,1,44,13.2206869031156
1,1,2,1,1,45,13.2214721637985
1,1,2,1,1,46,13.2085623694268
1,1,2,1,1,47,13.1858393158636
1,1,2,1,1,48,13.1529036984551
1,1,2,1,1,49,13.1043468397483
1,1,2,1,1,50,13.0297218549729
1,1,2,1,1,51,12.9143537972188
1,1,2,1,1,52,12.7411464558735
1,1,2,1,1,53,12.4929309869903
1,1,2,1,1,54,12.15485117224
1,1,2,1,1,55,11.7164812352637
1,1,2,1,1,56,11.1732890081752
1,1,2,1,1,57,10.5265630242911
1,1,2,1,1,58,9.78160509174852
1,1,2,1,1,59,8.94410490603269
1,1,2,1,1,60,8.01485679462471
1,1,2,1,1,61,6.98311599191861
1,1,2,1,1,62,5.82084767866058
1,1,2,1,1,63,4.48141241119913
1,1,2,1,1,64,2.90728884731126
1,1,2,1,1,65,1.04963287910246
1,1,2,1,1,66,-1.09846817894139
1,1,2,1,1,67,-3.46052077694935
1,1,2,1,1,68,-5.84370451257492
1,1,2,1,1,69,-7.94718371549482
1,1,2,1,1,70,-9.43035262963559
1,1,2,1,1,71,-10.0211970508441
1,1,2,1,1,72,-9.60567078510769
1,1,2,1,1,73,-8.25541575450047
1,1,2,1,1,74,-6.19435955314214
1,1,2,1,1,75,-3.7296607234661
1,1,2,1,1,76,-1.17179567591968
1,1,2,1,1,77,1.23221915409922
1,1,2,1,1,78,3.33360989181464
1,1,2,1,1,79,5.08133836539009
1,1,2,1,1,80,6.4964518474781
1,1,2,1,1,81,7.63803849111251
1,1,2,1,1,82,8.57303777977108
1,1,2,1,1,83,9.35484360679794
1,1,2,1,1,84,10.0096530873072
1,1,2,1,1,85,10.5297727523045
1,1,2,1,1,86,10.8754474928676
1,1,2,1,1,87,10.9876549699584
